in_ojoregex,clean_charge_description,category,subcategory,title,statutes,chapter,gist,description,statute_link,cf_cm,cf_cm_notes,outdated,notes
TRUE,Larceny of a CDS,Drug Crimes,Drug Stuff,63,63 O.S. 2-403,,larceny of CDS,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=98930,CF,NA,Current,This can sometimes be used to charge simple possession as a felony  and sidestep SQ 780
TRUE,CDS Paraphernalia Possession / Distribution,Drug Crimes,Drug Stuff,63,63 O.S. 2-405,,CDS paraphernalia,"possessing, manufacturing, selling, or using paraphernalia (without involvement of a minor)",https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=440599,CM,NA,Current,NA
TRUE,CDS Possession (Tax Stamp),Drug Crimes,Drug Stuff,68,68 O.S. 1-450.8,,failure to affix tax stamp to CDS,failing to affix tax stamp,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=92035,NA,NA,NA,NA
TRUE,Obtain CDS by Fraud,Drug Crimes,Drug Stuff,63,63 O.S. 2-407,,CDS-related fraud,"non-registrant dispensing, acquiring, etc. CDS via forgery or fraud",https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=440601,CF,NA,Current,This seems to be aimed at people trying to defraud doctors to get drugs
TRUE,Resisting / Eluding Officer,Other Crimes,Obstructing / Eluding,21,21 O.S. 19-540,,person obstructing an officer,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69214,CM,NA,NA,NA
TRUE,Obstruction of Justice,Other Crimes,Obstructing / Eluding,21,21 O.S. 19-540(A),,operator of mv refusing to stop for officer,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69215,CM,NA,NA,"This is meant to cover ""Obstructing an officer"", etc. too. If that doesn't make sense with how the statutes are written, though, we can always change it up."
TRUE,Kidnapping (Simple),Violent Crimes,Kidnapping,21,21 O.S. 25-741,,confining another person against their will,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=440116,CF,NA,NA,NA
TRUE,Kidnapping for Extortion,Violent Crimes,Kidnapping,21,21 O.S. 25-745,,forcibly confining another for the prupose of extorting money,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69326,CF,NA,NA,NA
TRUE,Human Trafficking,Violent Crimes,Kidnapping,21,21 O.S. 25-748,,extreme exploitation and denial of freedom or liberty,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=452651,CF,NA,NA,"Human trafficking of a minor is the same charge, but with a higher min. sentence."
TRUE,Child Stealing,Violent Crimes,Kidnapping,21,21 O.S. 35-891,,"detain or conceal child under 16 from guardian, or transport out of state without guardian consent",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69420,CF,NA,NA,sometimes recorded in data as kidnapping of a child/ minor
TRUE,Maiming,Violent Crimes,Maiming,21,21 O.S. 26-751,,"premediated injury which disfugures, disabales or diminishes anothers physical vigor",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69329,CF,NA,NA,NA
TRUE,Violation of Protective Order,Other Crimes,Protective Order,22,22 O.S. 2-60.6,,violation of protective order,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70260,It Depends,"CM for first offense, felony after",NA,NA
FALSE,Defamation,Other Crimes,Defamation,21,21 O.S. 27-771,,false or malicious publication exposing another to public ridicule,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69337,CM,NA,NA,NA
FALSE,False Rumors,Other Crimes,Defamation,21,21 O.S. 27-781,,repeating false or slanderous rumor,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69346,CM,NA,NA,NA
TRUE,Changing Lanes Unsafely,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-309,,unsafely changing lanes,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82287,TR,NA,NA,NA
TRUE,Following Too Closely,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-310,,following too closely,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82288,TR,NA,NA,NA
TRUE,Inattentive Driving,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-901,,operator must devote full time and attention to driving,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=436089,TR,NA,NA,includes texting while driving.
TRUE,Fail to Stop at Sign,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-703,,failure to stop or yield at sign (different than stop light),NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82313,TR,NA,NA,NA
