in_ojoregex,clean_charge_description,category,subcategory,title,statutes,chapter,gist,description,statute_link,cf_cm,cf_cm_notes,outdated,notes
FALSE,Defective Equipment,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 12-101,,must maintain vehicle equipment,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=438397,CM,NA,NA,includes transporting material on top of front windshield
FALSE,Transporting Load or Manufactured Home Without Permit,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 14-116,,must have permit to transport any load or manufactured home,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=440145,CM,NA,NA,NA
FALSE,Improper Use of Farm Tag,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 74-1134,,Fees and exceptions for farm vehicles,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=83079,NA,NA,NA,NA
FALSE,"Improper Stopping, Standing, or Parking on Roadway",Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-1003,,"stopping, standing, and parking prohibited in specified places",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82340,TR,NA,NA,NA
FALSE,Fail to Notify DPS of Address or Name Change,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 6-116,,must notify dps of name or address change within 10 days,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82118,TR,NA,NA,NA
FALSE,Emezzlement,Other Crimes,Embezzlement,21,21 O.S. 59-1451,,fruadulant appropriation of property,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=440119,It Depends,"less than $1,000 is a misd, over $1,000 is a felony",NA,NA
FALSE,Conspiracy to Commit a Felony,Other Crimes,Conspiracy,21,21 O.S. 11-421,,conspire to commit any crime or falsely indict another,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69152,It Depends,"conspiracy to commit a misd is a misd, conspiracy to commit a felony is a felony",NA,includes conspiracy to commit embezzlement
FALSE,Extortion,Other Crimes,Extortion,21,21 O.S. 60-1481,,obtaining property with consent by means of force or fear,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69901,CF,NA,NA,NA
FALSE,Extortion by Threats,Other Crimes,Extortion,21,21 O.S. 60-1482,,obtaining property by threat,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69902,CF,NA,NA,NA
FALSE,Blackmail,Other Crimes,Extortion,21,21 O.S. 60-1488,,communication with intent to extort or compel another to do an act against their will,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69908,CF,NA,NA,NA
FALSE,Permitting Unauthorized Minor to Drive,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 6-305,,cant knowingly permit child under 16 to drive,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82149,TR,NA,NA,NA
FALSE,Unauthorized Vehicle on Roadway,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-1116,,"rules around atvs, minibikes, golf carts, etc. on the roadways",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=440000,TR,NA,NA,NA
FALSE,Failure to Stop at Roadblock,Traffic / Motor Vehicles,Basic Traffic Stuff,21,21 O.S. 540(B),,defines and set rules for roadblocks,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69216,CF,NA,NA,NA
FALSE,Eluding,Traffic / Motor Vehicles,Basic Traffic Stuff,21,21 O.S. 540(A),,must stop when directed by peace officer,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69215,It Depends,"felony if person is endangered, otherwise misd.",NA,NA
FALSE,Endangerment of Highway Worker,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-1303,,rules for contruction zones,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=453178,TR,NA,NA,NA
FALSE,Leaving Vehicle Unattended With Engine Running,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 11-1101,,do not leave engine running unattended,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82349,TR,NA,NA,NA
FALSE,Improperly Towing,Traffic / Motor Vehicles,Basic Traffic Stuff,47,47 O.S. 14-106,,requirements for towing vehicles,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=82469,TR,NA,NA,NA
